datetime,symbol,open,high,low,close,volume
2025-04-04 11:22:00,BINANCE:BTCUSDT,83138.23,83138.23,83118.68,83118.69,2.46082
2025-04-04 11:23:00,BINANCE:BTCUSDT,83118.68,83168.32,83116.54,83142.36,13.24515
2025-04-04 11:24:00,BINANCE:BTCUSDT,83142.36,83153.0,83138.74,83138.74,4.81538
2025-04-04 11:25:00,BINANCE:BTCUSDT,83138.73,83191.2,83122.64,83191.19,7.35853
2025-04-04 11:26:00,BINANCE:BTCUSDT,83191.19,83199.37,83177.79,83177.79,6.31175
2025-04-04 11:27:00,BINANCE:BTCUSDT,83177.79,83199.37,83177.79,83199.36,3.31124
2025-04-04 11:28:00,BINANCE:BTCUSDT,83199.36,83200.0,83199.36,83200.0,1.78132
2025-04-04 11:29:00,BINANCE:BTCUSDT,83200.0,83200.0,83199.99,83200.0,0.64935
2025-04-04 11:30:00,BINANCE:BTCUSDT,83200.0,83242.98,83199.99,83231.62,28.79133
2025-04-04 11:31:00,BINANCE:BTCUSDT,83231.62,83247.33,83189.37,83215.81,19.51385
2025-04-04 11:32:00,BINANCE:BTCUSDT,83215.82,83247.28,83205.51,83220.0,6.78765
2025-04-04 11:33:00,BINANCE:BTCUSDT,83220.0,83220.0,83189.56,83205.98,10.1074
2025-04-04 11:34:00,BINANCE:BTCUSDT,83205.99,83205.99,83175.04,83200.0,5.90017
2025-04-04 11:35:00,BINANCE:BTCUSDT,83199.99,83199.99,83149.5,83177.29,6.28301
2025-04-04 11:36:00,BINANCE:BTCUSDT,83177.29,83238.71,83177.28,83222.36,8.50172
2025-04-04 11:37:00,BINANCE:BTCUSDT,83222.36,83222.37,83212.01,83212.02,2.68589
2025-04-04 11:38:00,BINANCE:BTCUSDT,83212.01,83232.0,83212.01,83231.99,2.23928
2025-04-04 11:39:00,BINANCE:BTCUSDT,83232.0,83235.89,83213.0,83232.01,5.86359
2025-04-04 11:40:00,BINANCE:BTCUSDT,83232.0,83232.01,83211.81,83219.86,7.70709
2025-04-04 11:41:00,BINANCE:BTCUSDT,83219.87,83219.87,83170.99,83186.95,9.30801
2025-04-04 11:42:00,BINANCE:BTCUSDT,83186.95,83236.77,83181.46,83236.77,9.05806
2025-04-04 11:43:00,BINANCE:BTCUSDT,83236.77,83243.95,83211.19,83225.38,11.81534
2025-04-04 11:44:00,BINANCE:BTCUSDT,83225.38,83228.91,83220.87,83224.12,1.42788
2025-04-04 11:45:00,BINANCE:BTCUSDT,83224.12,83252.0,83224.12,83251.99,7.87072
2025-04-04 11:46:00,BINANCE:BTCUSDT,83251.99,83252.0,83172.0,83179.49,10.08146
2025-04-04 11:47:00,BINANCE:BTCUSDT,83179.49,83194.71,83164.89,83194.71,3.57196
2025-04-04 11:48:00,BINANCE:BTCUSDT,83194.71,83197.84,83140.29,83155.72,5.24988
2025-04-04 11:49:00,BINANCE:BTCUSDT,83155.73,83222.65,83155.72,83206.43,6.4133
2025-04-04 11:50:00,BINANCE:BTCUSDT,83206.42,83229.96,83192.99,83229.95,4.15889
2025-04-04 11:51:00,BINANCE:BTCUSDT,83229.96,83235.08,83226.01,83235.07,1.88491
2025-04-04 11:52:00,BINANCE:BTCUSDT,83235.07,83235.07,83194.81,83194.81,26.26821
2025-04-04 11:53:00,BINANCE:BTCUSDT,83194.82,83206.7,83184.05,83184.05,3.04355
2025-04-04 11:54:00,BINANCE:BTCUSDT,83184.05,83219.38,83169.81,83180.54,5.7374
2025-04-04 11:55:00,BINANCE:BTCUSDT,83180.54,83199.22,83180.54,83199.21,2.72
2025-04-04 11:56:00,BINANCE:BTCUSDT,83199.21,83243.11,83185.67,83243.1,7.17943
2025-04-04 11:57:00,BINANCE:BTCUSDT,83243.1,83264.16,83238.36,83256.52,21.33369
2025-04-04 11:58:00,BINANCE:BTCUSDT,83256.51,83258.91,83254.18,83254.18,6.09231
2025-04-04 11:59:00,BINANCE:BTCUSDT,83254.18,83254.19,83254.18,83254.18,3.32587
2025-04-04 12:00:00,BINANCE:BTCUSDT,83254.18,83254.19,83172.96,83192.57,7.50426
2025-04-04 12:01:00,BINANCE:BTCUSDT,83192.57,83245.25,83172.0,83245.25,3.87576
2025-04-04 12:02:00,BINANCE:BTCUSDT,83245.24,83253.57,83200.0,83200.01,3.50053
2025-04-04 12:03:00,BINANCE:BTCUSDT,83200.01,83204.25,83181.04,83204.24,4.63849
2025-04-04 12:04:00,BINANCE:BTCUSDT,83204.24,83204.25,83175.0,83175.01,2.96292
2025-04-04 12:05:00,BINANCE:BTCUSDT,83175.01,83175.01,83134.0,83134.0,6.24941
2025-04-04 12:06:00,BINANCE:BTCUSDT,83133.99,83139.4,83107.86,83139.4,7.25794
2025-04-04 12:07:00,BINANCE:BTCUSDT,83139.4,83157.39,83116.39,83135.27,15.76348
2025-04-04 12:08:00,BINANCE:BTCUSDT,83135.27,83135.27,83088.0,83088.0,8.96438
2025-04-04 12:09:00,BINANCE:BTCUSDT,83088.01,83131.15,83087.65,83104.46,8.98843
2025-04-04 12:10:00,BINANCE:BTCUSDT,83104.47,83104.47,83063.26,83076.9,3.88556
2025-04-04 12:11:00,BINANCE:BTCUSDT,83076.9,83097.65,83076.9,83097.65,2.36817
2025-04-04 12:12:00,BINANCE:BTCUSDT,83097.64,83097.65,83076.05,83076.06,1.81772
2025-04-04 12:13:00,BINANCE:BTCUSDT,83076.06,83094.14,83074.01,83094.14,3.3444
2025-04-04 12:14:00,BINANCE:BTCUSDT,83094.14,83109.97,83065.68,83071.99,4.62121
2025-04-04 12:15:00,BINANCE:BTCUSDT,83072.0,83130.38,83071.99,83130.38,3.60038
2025-04-04 12:16:00,BINANCE:BTCUSDT,83130.38,83130.38,83110.89,83114.59,2.5851
2025-04-04 12:17:00,BINANCE:BTCUSDT,83114.6,83114.6,83061.38,83061.38,6.62762
2025-04-04 12:18:00,BINANCE:BTCUSDT,83061.38,83061.39,83058.26,83061.37,2.2639
2025-04-04 12:19:00,BINANCE:BTCUSDT,83061.36,83061.37,83051.3,83056.52,2.08737
2025-04-04 12:20:00,BINANCE:BTCUSDT,83056.53,83125.75,83056.52,83086.41,20.66192
2025-04-04 12:21:00,BINANCE:BTCUSDT,83086.42,83103.85,83080.08,83096.69,4.28834
2025-04-04 12:22:00,BINANCE:BTCUSDT,83096.68,83100.0,83079.5,83080.81,3.85351
2025-04-04 12:23:00,BINANCE:BTCUSDT,83080.8,83084.23,83067.36,83067.37,3.22778
2025-04-04 12:24:00,BINANCE:BTCUSDT,83067.36,83068.01,83041.95,83048.98,4.92457
2025-04-04 12:25:00,BINANCE:BTCUSDT,83048.99,83063.28,83048.98,83063.27,1.3151
2025-04-04 12:26:00,BINANCE:BTCUSDT,83063.28,83072.17,83058.21,83065.52,3.24102
2025-04-04 12:27:00,BINANCE:BTCUSDT,83065.51,83065.52,83041.96,83056.79,2.36726
2025-04-04 12:28:00,BINANCE:BTCUSDT,83056.8,83068.9,83056.79,83068.9,1.15433
2025-04-04 12:29:00,BINANCE:BTCUSDT,83068.9,83068.9,83054.72,83054.72,1.98921
2025-04-04 12:30:00,BINANCE:BTCUSDT,83054.73,83136.0,83054.72,83075.48,15.83921
2025-04-04 12:31:00,BINANCE:BTCUSDT,83075.48,83088.76,83050.0,83085.07,9.19532
2025-04-04 12:32:00,BINANCE:BTCUSDT,83085.07,83127.5,83066.55,83127.5,6.76739
2025-04-04 12:33:00,BINANCE:BTCUSDT,83127.5,83159.99,83127.5,83156.52,6.8788
2025-04-04 12:34:00,BINANCE:BTCUSDT,83156.52,83180.6,83136.07,83136.08,10.64247
2025-04-04 12:35:00,BINANCE:BTCUSDT,83136.07,83178.99,83136.07,83137.51,8.31462
2025-04-04 12:36:00,BINANCE:BTCUSDT,83137.5,83169.18,83137.5,83162.65,5.34561
2025-04-04 12:37:00,BINANCE:BTCUSDT,83162.65,83205.47,83156.94,83205.46,9.12848
2025-04-04 12:38:00,BINANCE:BTCUSDT,83205.46,83236.06,83189.91,83212.02,14.63883
2025-04-04 12:39:00,BINANCE:BTCUSDT,83212.01,83319.0,83212.01,83312.69,11.71067
2025-04-04 12:40:00,BINANCE:BTCUSDT,83312.7,83327.0,83288.0,83326.99,7.55959
2025-04-04 12:41:00,BINANCE:BTCUSDT,83326.99,83452.84,83326.43,83415.21,32.89471
2025-04-04 12:42:00,BINANCE:BTCUSDT,83415.21,83500.0,83415.21,83428.76,106.07257
2025-04-04 12:43:00,BINANCE:BTCUSDT,83428.75,83500.0,83408.04,83499.99,27.65428
2025-04-04 12:44:00,BINANCE:BTCUSDT,83499.99,83567.0,83499.99,83522.84,120.37986
2025-04-04 12:45:00,BINANCE:BTCUSDT,83522.84,83563.99,83466.16,83481.99,28.06583
2025-04-04 12:46:00,BINANCE:BTCUSDT,83481.98,83482.36,83437.43,83477.51,11.63417
2025-04-04 12:47:00,BINANCE:BTCUSDT,83477.51,83575.07,83436.74,83565.18,21.01255
2025-04-04 12:48:00,BINANCE:BTCUSDT,83565.18,83565.18,83470.0,83480.02,16.2823
2025-04-04 12:49:00,BINANCE:BTCUSDT,83480.02,83504.46,83445.66,83450.18,11.70445
2025-04-04 12:50:00,BINANCE:BTCUSDT,83450.19,83521.48,83416.82,83467.45,22.68484
2025-04-04 12:51:00,BINANCE:BTCUSDT,83467.46,83492.85,83429.44,83472.82,6.77154
2025-04-04 12:52:00,BINANCE:BTCUSDT,83472.85,83480.75,83452.83,83465.75,8.97972
2025-04-04 12:53:00,BINANCE:BTCUSDT,83465.74,83494.2,83440.7,83494.19,6.53198
2025-04-04 12:54:00,BINANCE:BTCUSDT,83494.2,83543.64,83483.14,83543.64,7.13162
2025-04-04 12:55:00,BINANCE:BTCUSDT,83543.63,83543.63,83494.75,83494.75,8.05224
2025-04-04 12:56:00,BINANCE:BTCUSDT,83494.75,83618.32,83494.75,83618.31,12.43494
2025-04-04 12:57:00,BINANCE:BTCUSDT,83618.31,83700.0,83618.31,83687.99,25.62023
2025-04-04 12:58:00,BINANCE:BTCUSDT,83687.99,83693.35,83643.15,83643.15,15.79534
2025-04-04 12:59:00,BINANCE:BTCUSDT,83643.15,83666.0,83596.0,83596.01,18.95892
2025-04-04 13:00:00,BINANCE:BTCUSDT,83596.0,83596.01,83547.44,83547.44,12.40678
2025-04-04 13:01:00,BINANCE:BTCUSDT,83547.45,83559.66,83528.75,83540.0,18.82067
2025-04-04 13:02:00,BINANCE:BTCUSDT,83540.0,83540.01,83480.17,83495.2,14.78106
2025-04-04 13:03:00,BINANCE:BTCUSDT,83495.2,83512.59,83482.9,83511.55,7.76747
2025-04-04 13:04:00,BINANCE:BTCUSDT,83511.56,83580.0,83503.54,83549.59,6.3791
2025-04-04 13:05:00,BINANCE:BTCUSDT,83549.59,83608.97,83540.0,83596.01,25.07205
